name,capital
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Antigua & Barbuda,Saint Johns
Argentina,Buenos Aires
Armenia,Yerevan
Aruba,Oranjestad
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia,La Paz
Bosnia & Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasilia
British Virgin Islands,Road Town
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burma,Rangoon
Burundi,Bujumbura
Cambodia,Phnom Penh
Cameroon,Yaounde
Canada,Ottawa
Cape Verde,Praia
Cayman Islands,George Town
Central African Republic,Bangui
Chad,NDjamena
Chile,Santiago
China,Beijing
Christmas Island,The Settlement
Cocos (Keeling) Islands,West Island
Colombia,Bogota
Comoros,Moroni
Congo - Brazzaville,Brazzaville
Congo - Kinshasa,Kinshasa
Cook Islands,Avarua
Costa Rica,San Jose
Cote d'Ivoire,Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Cyprus,Nicosia
Czechia,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
Dominican Republic,Santo Domingo
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara 
Estonia,Tallinn
Ethiopia,Addis Ababa
Falkland Islands,Stanley
Faroe Islands,Torshavn
Fiji,Suva
Finland,Helsinki
France,Paris
French Polynesia,Papeete 
Gabon,Libreville
Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Grenada,Saint Georges
Guam,Hagatna
Guatemala,Guatemala City
Guernsey,Saint Peter Port
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavik
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Isle of Man,Douglas
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jersey,Saint Helier
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane 
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli 
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Male
Mali,Bamako
Malta,Valletta
Marshall Islands,Majuro
Mauritania,Nouakchott
Mauritius,Port Louis
Mexico,Mexico City 
Micronesia (Federated States of),Palikir
Moldova,Chisinau
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,Plymouth
Morocco,Rabat
Mozambique,Maputo
Namibia,Windhoek
Nepal,Kathmandu
Netherlands,Amsterdam
New Caledonia,Noumea
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
North Korea,Pyongyang
Northern Mariana Islands,Saipan
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Melekeok
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asuncion
Peru,Lima
Philippines,Manila
Pitcairn Islands,Adamstown
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Saint Martin (French part),Marigot
Samoa,Apia
San Marino,San Marino
Sao Tome & Principe,Sao Tome
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,Pretoria
South Korea,Seoul
South Sudan,Juba
Spain,Madrid
Sri Lanka,Colombo
St. Helena,Jamestown
St. Kitts & Nevis,Basseterre
St. Lucia,Castries
St. Pierre & Miquelon,Saint-Pierre
St. Vincent & Grenadines,Kingstown
Sudan,Khartoum
Suriname,Paramaribo
Svalbard,Longyearbyen
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Timor-Leste,Dili
Togo,Lome
Tonga,Nukualofa
Trinidad & Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Turks & Caicos Islands,Grand Turk
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kyiv
Ukraine,Kiev
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,"Washington, DC"
United States,"Washington, DC"
United States,Washington
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port-Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wallis & Futuna,Mata-Utu
Yemen,Sanaa
Zambia,Lusaka
Zimbabwe,Harare
