"Game","Date","Question","Answer","Correct"
"Flags","2022-07-02","Central African Republic",NA,"No"
"Countries shape","2022-07-02","Kazakhstan","f","No"
"Flags","2022-07-02","Malaysia","f","No"
"Countries localisation","2022-07-02","Laos","Laos","Yes"
"Countries localisation","2022-07-02","Angola","Angola","Yes"
"Capitals","2022-07-02","Iran","Teheran","No"
"Capitals","2022-07-02","Ghana","kumas","No"
"Capitals","2022-07-02","Lithuania","riga","No"
"Capitals","2022-07-02","Faroe Islands","a","No"
"Capitals","2022-07-02","Niue","a","No"
"Capitals","2022-07-02","Iceland","reykjavik","Yes"
"Flags","2022-07-02","Estonia","estonia","Yes"
"Flags","2022-07-02","Netherlands","netherlands","Yes"
"Countries shape","2022-07-02","Antigua and Barbuda","a","No"
"Countries shape","2022-07-02","Cameroon","a","No"
"Countries shape","2022-07-02","Morocco","morocco","Yes"
"Countries localisation","2022-07-02","Belarus","belarus","Yes"
"Countries localisation","2022-07-02","Jordan","jordan","Yes"
"Flags","2022-07-02","Turkmenistan","pakistan","No"
"Capitals","2022-07-02","Japan","tokyo","Yes"
"Countries shape","2022-07-02","Saint Vincent and the Grenadines","vanuatu","No"
"Countries shape","2022-07-02","Saint Helena","","No"
"Flags","2022-07-02","Indonesia","","No"
"Capitals","2022-07-02","Ireland","dublin","Yes"
"Capitals","2022-07-02","North Korea","pyongyang","Yes"
"Countries localisation","2022-07-02","Denmark","denmark","Yes"
"Countries localisation","2022-07-02","Cote D'Ivoire","ivory coast","No"
"Capitals","2022-07-02","Denmark","copenhagen","Yes"
"Countries shape","2022-07-02","Tanzania","a","No"
"Countries shape","2022-07-02","Heard Island and McDonald Islands","vatican city","No"
"Countries shape","2022-07-02","Ireland","ireland","Yes"
"Flags","2022-07-02","Australia","australia","Yes"
"Capitals","2022-07-02","Kazakhstan","","No"
"Countries localisation","2022-07-02","Iraq","iraq","Yes"
